name,year,imdb_ratings,metascores,movieVotes,movieNumbers,runtimes,genres
Joker,2019,8.5,59        ,"871,818",$335.45M,122,"
Crime"
Avengers: Infinity War,2018,8.4,68        ,"802,603",$678.82M,149,"
Action"
Avengers: Endgame,2019,8.4,78        ,"765,373",$858.37M,181,"
Action"
Black Panther,2018,7.3,88        ,"607,402",$700.06M,134,"
Action"
Once Upon a Time... in Hollywood,2019,7.6,83        ,"515,426",$142.50M,161,"
Comedy"
Gisaengchung,2019,8.6,96        ,"484,554",$53.37M,132,"
Comedy"
Deadpool 2,2018,7.7,66        ,"463,608",$324.59M,119,"
Action"
Bohemian Rhapsody,2018,8.0,49        ,"435,992",$216.43M,134,"
Biography"
Captain Marvel,2019,6.9,64        ,"425,471",$426.83M,123,"
Action"
A Quiet Place,2018,7.5,82        ,"393,823",$188.02M,90,"
Drama"
Knives Out,2019,7.9,82        ,"393,173",$165.36M,130,"
Comedy"
Ready Player One,2018,7.5,64        ,"355,826",$137.69M,140,"
Action"
Aquaman,2018,6.9,55        ,"351,899",$335.06M,143,"
Action"
Venom,2018,6.7,35        ,"348,299",$213.52M,112,"
Action"
Green Book,2018,8.2,69        ,"346,482",$85.08M,130,"
Biography"
Spider-Man: Into the Spider-Verse,2018,8.4,87        ,"340,387",$190.24M,117,"
Animation"
A Star Is Born,2018,7.7,88        ,"321,450",$215.29M,136,"
Drama"
Spider-Man: Far from Home,2019,7.5,69        ,"307,734",$390.53M,129,"
Action"
The Irishman,2019,7.9,94        ,"307,614",$7.00M,209,"
Biography"
Ant-Man and the Wasp,2018,7.1,70        ,"297,582",$216.65M,118,"
Action"
Mission: Impossible - Fallout,2018,7.7,86        ,"282,766",$220.16M,147,"
Action"
Solo: A Star Wars Story,2018,6.9,62        ,"280,052",$213.77M,135,"
Action"
Annihilation,2018,6.8,79        ,"272,995",$32.73M,115,"
Adventure"
Bird Box,2018,6.6,51        ,"268,854",nan,124,"
Horror"
Jojo Rabbit,2019,7.9,58        ,"262,010",$0.35M,108,"
Comedy"
Ford v. Ferrari,2019,8.1,81        ,"260,861",$117.62M,152,"
Action"
John Wick: Chapter 3 - Parabellum,2019,7.5,73        ,"260,753",$171.02M,130,"
Action"
Jurassic World: Fallen Kingdom,2018,6.2,51        ,"258,204",$417.72M,128,"
Action"
Shazam!,2019,7.1,71        ,"242,954",$140.37M,132,"
Action"
Incredibles 2,2018,7.6,80        ,"241,020",$608.58M,118,"
Animation"
Marriage Story,2019,8.0,94        ,"230,439",$2.00M,137,"
Comedy"
Hereditary,2018,7.3,87        ,"224,176",$44.07M,127,"
Drama"
Alita: Battle Angel,2019,7.3,53        ,"219,244",$85.71M,122,"
Action"
Aladdin,2019,7.0,53        ,"217,565",$355.56M,128,"
Adventure"
Us,2019,6.9,81        ,"212,271",$175.08M,116,"
Horror"
Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52        ,"211,744",$159.56M,134,"
Adventure"
BlacKkKlansman,2018,7.5,83        ,"210,070",$49.28M,135,"
Biography"
Uncut Gems,2019,7.4,91        ,"202,711",nan,135,"
Crime"
The Lion King,2019,6.9,55        ,"201,893",$543.64M,118,"
Animation"
Game Night,2018,6.9,66        ,"199,828",$69.18M,100,"
Action"
Glass,2019,6.7,43        ,"199,407",$111.05M,129,"
Drama"
It Chapter Two,2019,6.5,58        ,"194,811",$211.59M,169,"
Drama"
Toy Story 4,2019,7.8,84        ,"191,339",$434.04M,100,"
Animation"
Ad Astra,2019,6.6,80        ,"188,037",$35.40M,123,"
Adventure"
Tomb Raider,2018,6.3,48        ,"186,513",$58.25M,119,"
Action"
Midsommar,2019,7.1,72        ,"180,418",$27.33M,148,"
Drama"
